nombre,pais,ciudad_zona,direccion,telefono,email,web,tipo,cp,estado_origen,notas
Mo Cu Ri To S.L.,España,,"Carrer de la Capella, 15, 08041 Barcelona",934501726,,,Bar Restaurante,,contacted,"Local pequeño con terraza exterior; reseñas generalmente positivas valorando su comida casera y trato amable. Su debilidad es la gestión tradicional y falta de digitalización, pero esto supone un punto fuerte para vender herramientas sencillas que optimicen tiempos y comandas en un equipo reducido."
Green Vita L'Illa,España,,"Av. Diagonal, 557, 08029 Barcelona",936317761,onixmanagerpro@gmail.com,https://www.greenvita.com,Restaurante Saludable,,investigated,"Tiene terraza (zona abierta en el centro comercial) y una capacidad media-grande. Opiniones muy positivas por su comida saludable, pero con quejas frecuentes por lentitud en el servicio. Pro tech: necesitan software para agilizar comandas (QR/KDS); Contra: al ser cadena, la decisión de compra está centralizada."
Dimanda S.L.,España,,"Carrer de la Bisbal, 37, 08041 Barcelona",933480038,,,Bar,,investigated,"Dispone de terraza exterior y tamaño mediano tipo Frankfurt. Sentimiento positivo por calidad-precio, con quejas puntuales sobre la lentitud del servicio. Punto fuerte: venta de software para agilizar comandas y cobros ante la alta rotación de clientes y evitar cuellos de botella."
Restaurante Basilea,España,,"Carrer de Sant Antoni Maria Claret, 218, 08041 Barcelona",934360251,info@restaurantebasilea.com,http://www.restaurantebasilea.com,Restaurante,,investigated,"Sin terraza; es un local de tamaño mediano con ambiente tradicional enfocado en comedor interior. Reseñas excelentes destacando su comida suiza (fondues), con quejas puntuales por lentitud cuando se llena. Oportunidad tech: ideal para software de reservas (turnos largos) o modernizar TPV, aunque su perfil clásico puede suponer resistencia al cambio."
Restaurante L'Antull,España,,"Carrer de Loreto, 22, 08029 Barcelona",934103102,,,Restaurante,,investigated,"Tiene una pequeña terraza exterior y el local es de capacidad pequeña-mediana, con un perfil de barrio tradicional. Las reseñas son muy positivas, destacando la buena relación calidad-precio de su menú y el trato familiar, sin quejas recurrentes sobre el servicio. Para venderles tecnología, su gestión tradicional puede ser una barrera (debilidad), pero un software sencillo enfocado en agilizar comandas y maximizar la rotación de mesas al mediodía sería su mayor atractivo (fortaleza)."
Tharsys Restaurante Multibar,España,,"Calle Ciutat d'Asuncion, 2, 08030 Barcelona",+34 933 11 65 44,,,Bar Restaurante,,investigated,"Tiene terraza exterior y capacidad mediana-grande. Reseñas mayoritariamente positivas, con quejas recurrentes por lentitud en el servicio durante horas punta. Punto fuerte para software: optimización de la agilidad en pedidos y cobros ante su alto volumen de menús diarios."
Restaurante Llivia,España,,"Passatge de Llívia, 43, 08041 Barcelona",934350099,info@restaurantllivia.com,,Restaurante,,investigated,"Tiene terraza en pasaje peatonal; es un local de barrio de tamaño mediano con aforo moderado. Reseñas muy positivas destacando su menú diario y trato familiar, sin quejas reseñables de servicio. Oportunidad tecnológica: carece de web y digitalización, ideal para ofrecer gestión de comandas y reservas que optimicen su alta rotación diaria."
El Mirador del Carmelo,España,,"Carretera del Carmel, 124, 08032 Barcelona",+34 934072455,,,Restaurante,,investigated,"Local mediano-grande con una amplia terraza muy concurrida por turistas. Reseñas mixtas: valoran las vistas, pero hay quejas recurrentes por servicio lento y desorganizado. Argumento de venta tecnológico: ideal para ofrecer pedidos por QR o telecomandas que agilicen el servicio y la rotación de mesas."
Fogón del Castellano y Leonés,España,,"Passeig de Torras i Bages, 139, 08030 Barcelona",+34 931 01 19 13,info@fogoncastellano.com,,Restaurante Tradicional,,investigated,"Este negocio es en realidad un restaurante/bar de gastronomía tradicional, no una academia, por lo que no imparte clases ni tiene alumnos. Al ser un local de hostelería, no existen asignaturas ni opiniones sobre ninguna metodología educativa. Es un prospecto nulo (punto débil total) para vender una plataforma e-learning escolar, ya que no pertenecen al sector educativo."
Can Recasens,España,,"Rambla del Poblenou, 150, 08005 Barcelona",+34933008123,info@canrecasens.com,https://www.canrecasens.com,Restaurante de Quesos y Embutidos,,investigated,"Tiene terraza exterior. Gran capacidad con múltiples salas interiores. Reseñas mayoritariamente excelentes por producto y ambiente, aunque con quejas por ruido y aglomeraciones. Punto fuerte: volumen alto ideal para optimizar operativa; débil: estética muy tradicional que prioriza el trato artesanal."
